datetime,Open,High,Low,Close,Final,Volume
2024-04-02,2801,2837,2702,2735,2749,180549633
2024-04-03,2789,2789,2682,2701,2710,176781996
2024-04-06,2659,2698,2521,2542,2575,237332242
2024-04-07,2524,2669,2524,2630,2599,110061810
2024-04-08,2669,2691,2583,2593,2622,113079812
2024-04-09,2602,2640,2578,2590,2604,96937993
2024-04-13,2439,2530,2422,2422,2429,257133722
2024-04-14,2405,2405,2405,2405,2424,8415301
2024-04-15,2410,2448,2410,2448,2445,63761581
2024-04-16,2421,2450,2421,2421,2421,142407201
2024-04-17,2445,2445,2409,2437,2443,96701452
2024-04-20,2526,2602,2526,2595,2582,153603853
2024-04-21,2670,2670,2562,2573,2609,100598537
2024-04-22,2598,2610,2541,2577,2573,118034857
2024-04-23,2606,2752,2562,2690,2673,256331080
2024-04-24,2710,2734,2650,2669,2685,124406123
2024-04-27,2650,2679,2604,2625,2634,116902815
2024-04-28,2649,2649,2526,2544,2548,92903900
2024-04-29,2565,2652,2517,2530,2562,64908884
2024-04-30,2530,2570,2467,2510,2505,75395281
2024-05-01,2511,2561,2489,2502,2505,75199966
2024-05-05,2530,2566,2457,2468,2490,83839067
2024-05-06,2461,2490,2415,2420,2437,103396490
2024-05-07,2425,2475,2389,2412,2408,80887672
2024-05-08,2401,2450,2382,2401,2406,63020944
2024-05-11,2410,2429,2351,2356,2370,77431245
2024-05-12,2391,2416,2311,2311,2349,79891568
2024-05-13,2313,2367,2218,2261,2252,103295134
2024-05-14,2300,2309,2174,2187,2215,113748147
2024-05-15,2198,2279,2114,2254,2185,184372441
2024-05-18,2275,2275,2186,2204,2221,90492088
2024-05-19,2200,2200,2075,2137,2103,125502905
2024-05-21,2062,2145,2062,2119,2113,63610825
2024-05-25,2135,2141,2071,2073,2075,126160462
2024-05-26,2034,2051,2034,2034,2034,73033241
2024-05-27,1994,2053,1994,2048,2002,144418170
2024-05-28,2042,2042,2042,2042,2042,11874154
2024-05-29,2082,2082,2082,2082,2082,4783287
2024-06-01,2123,2123,2091,2123,2123,162660495
2024-06-02,2155,2165,2110,2165,2143,113896395
2024-06-05,2184,2185,2145,2180,2177,98873014
2024-06-08,2190,2190,2134,2135,2135,131872416
2024-06-09,2134,2177,2099,2177,2155,97973520
2024-06-10,2198,2198,2165,2198,2198,42976870
2024-06-11,2238,2241,2179,2184,2206,76062398
2024-06-12,2180,2198,2162,2162,2165,64043975
2024-06-15,2162,2162,2122,2123,2123,94124788
2024-06-16,2082,2099,2081,2081,2081,114734008
2024-06-18,2040,2040,2040,2040,2040,18256964
2024-06-19,2000,2000,2000,2000,2000,22821971
